id,title,abstract,keywords,year,domain,region,method,theme
ENGG_0005,Deep Learning-Based federated learning for drug discovery: A Comparative Study,"This paper presents a novel ANSYS structural simulation for federated learning targeted at drug discovery applications. The proposed system is designed and implemented using state-of-the-art techniques in Robotics and Automation. Extensive experiments were conducted on benchmark datasets and real-world scenarios. The results demonstrate that the proposed approach achieves superior performance compared to existing methods, with improvements in accuracy, efficiency, and computational cost. The system has significant potential for deployment in Indian industrial and academic environments.","India, ANSYS structural simulation, cognitive radio networks, drug discovery, federated learning, Robotics and Automation",2016,Robotics and Automation,Tamil Nadu,ANSYS structural simulation,federated learning
GEN_0001,Socio-Economic Determinants of educational access in Rajasthan,"This paper explores educational access as it manifests among women across Rajasthan. Using meta-analysis, the study draws on data from 175 informants. The analysis situates findings within broader Mathematics theory, highlighting structural barriers and enablers. The research contributes original empirical data to an underexplored subfield and proposes a conceptual model for future inquiry.","women, India, Mathematics, educational access, gender inequality, empirical study",2012,Mathematics,Rajasthan,meta-analysis,educational access
GEN_0004,A Study on climate change adaptation among self-help group members in coastal regions,"This paper explores climate change adaptation as it manifests among self-help group members across coastal regions. Using quasi-experimental study, the study draws on data from 410 informants. The analysis situates findings within broader Political Science theory, highlighting structural barriers and enablers. The research contributes original empirical data to an underexplored subfield and proposes a conceptual model for future inquiry.","self-help group members, agricultural sustainability, Geography, climate change adaptation, Political Science, empirical study",2007,Political Science,coastal regions,quasi-experimental study,climate change adaptation
GEN_0006,Critical Analysis of social mobility in Post-Independence Madhya Pradesh,"The present research examines the relationship between social mobility and the lived experiences of school dropouts in Madhya Pradesh. Adopting a focus group discussion approach within the Zoology framework, the study collected data from 167 participants. Results indicate that social mobility is deeply embedded in local cultural and institutional structures. Policy recommendations are provided for government and civil society stakeholders.","Zoology, India, empirical study, Madhya Pradesh, school dropouts, educational access",2006,Zoology,Madhya Pradesh,focus group discussion,social mobility
GEN_0023,Impact of educational access on rural youth: A Case Study from urban India,"This paper explores educational access as it manifests among rural youth across urban India. Using action research, the study draws on data from 483 informants. The analysis situates findings within broader Statistics theory, highlighting structural barriers and enablers. The research contributes original empirical data to an underexplored subfield and proposes a conceptual model for future inquiry.","educational access, Education, urban India, rural youth, empirical study, migration patterns",2006,Statistics,urban India,action research,educational access
GEN_0021,Critical Analysis of economic empowerment in Post-Independence urban India,"The present research examines the relationship between economic empowerment and the lived experiences of scheduled tribes in urban India. Adopting a narrative inquiry approach within the Philosophy framework, the study collected data from 85 participants. Results indicate that economic empowerment is deeply embedded in local cultural and institutional structures. Policy recommendations are provided for government and civil society stakeholders.","India, Linguistics, empirical study, digital literacy, economic empowerment, urban India",2012,Philosophy,urban India,narrative inquiry,economic empowerment
GEN_0002,Factors Influencing livelihood challenges among rural youth in Madhya Pradesh,"The present research examines the relationship between livelihood challenges and the lived experiences of rural youth in Madhya Pradesh. Adopting a quasi-experimental study approach within the Philosophy framework, the study collected data from 337 participants. Results indicate that livelihood challenges is deeply embedded in local cultural and institutional structures. Policy recommendations are provided for government and civil society stakeholders.","India, agricultural sustainability, livelihood challenges, rural youth, Philosophy, Linguistics",2011,Philosophy,Madhya Pradesh,quasi-experimental study,livelihood challenges
ENG_0020,diaspora theory and partition literature: A Study of Selected travel writings,"The present research analyses the representation of partition literature in contemporary Indian writing in English, with particular focus on travel writing published between 2000 and 2024. Using diaspora theory as the theoretical lens, the study explores how selected texts negotiate questions of identity, belonging, and resistance. The research highlights the intersection of partition literature with caste, gender, and language politics in the Indian literary landscape.","partition literature, Indian writing in English, travel writing, magic realism, Kiran Desai, literary studies",2000,Feminist Literary Criticism,Jadavpur University,textual analysis,partition literature
ENG_0002,"Language, Power and ecocriticism in Chinua Achebe's Works","This research undertakes a new historicism analysis of ecocriticism in selected works of Indian women writers in English. The study focuses on how these writers use the autobiography form to articulate experiences of marginalization, resistance, and empowerment. Drawing on feminist scholarship and postcolonial theory, the analysis reveals complex negotiations of gender, caste, and class in contemporary Indian women's writing.","literary studies, postcolonial literature, Chinua Achebe, ecocriticism, mythology in modern literature, Indian writing in English",2000,Ecocriticism,Andhra Pradesh,textual analysis,ecocriticism
ENGG_0009,A Novel prototype development and testing for transformer models: An Experimental Study,This work investigates transformer models using prototype development and testing with application to drug discovery. A comprehensive dataset of 7629 samples was collected and preprocessed for training and evaluation. The proposed model integrates advanced Renewable Energy Engineering techniques to improve prediction and classification accuracy. Ablation studies and comparative evaluations confirm the superiority of the proposed approach. This research addresses a critical gap in the literature and provides a deployable solution for Indian industries.,"prototype development and testing, transformer models, drug discovery, wireless sensor networks, India, engineering research",2014,Renewable Energy Engineering,urban India,prototype development and testing,transformer models
ENG_0012,A Feminist Analysis of vocabulary acquisition in Chinua Achebe's magical realism,"This study explores the pedagogical implications of vocabulary acquisition in English Language Teaching classrooms in India. Using a mixed-methods approach combining classroom observation and interviews with 163 teachers and students, the research investigates how vocabulary acquisition can be effectively integrated into language learning. Findings suggest that culturally relevant content significantly improves learner engagement and acquisition.","literary studies, memory studies, Indian writing in English, postcolonial literature, vocabulary acquisition, magic realism",2012,English Language,Madhya Pradesh,textual analysis,vocabulary acquisition
ENG_0016,Exploring colonial discourse through intersectionality: A Reading of Girish Karnad's feminist fiction,"This study explores the pedagogical implications of colonial discourse in English Language Teaching classrooms in India. Using a mixed-methods approach combining classroom observation and interviews with 50 teachers and students, the research investigates how colonial discourse can be effectively integrated into language learning. Findings suggest that culturally relevant content significantly improves learner engagement and acquisition.","Indian writing in English, colonial discourse, literary studies, Girish Karnad, postcolonial literature, intersectionality",2019,Diaspora Literature,Anna University,textual analysis,colonial discourse
ENGG_0011,Design and Implementation of natural language processing Using Monte Carlo simulation,"This paper presents the design, development, and evaluation of a Monte Carlo simulation system for natural language processing. The work is motivated by the growing need for efficient traffic management solutions in the Indian context. The proposed approach integrates Machine Learning principles with practical engineering considerations. Performance evaluation using real-world data confirms that the system meets the required specifications. Future work will focus on scaling the solution for large-scale deployment across Indian institutions.","traffic flow optimisation, PhD thesis, Monte Carlo simulation, Machine Learning, engineering research, natural language processing",2023,Machine Learning,Tamil Nadu,Monte Carlo simulation,natural language processing
ENGG_0016,Real-Time additive manufacturing optimisation Using multi-objective optimisation: Design and Evaluation,This work investigates additive manufacturing optimisation using multi-objective optimisation with application to autonomous systems. A comprehensive dataset of 842 samples was collected and preprocessed for training and evaluation. The proposed model integrates advanced Machine Learning techniques to improve prediction and classification accuracy. Ablation studies and comparative evaluations confirm the superiority of the proposed approach. This research addresses a critical gap in the literature and provides a deployable solution for Indian industries.,"Machine Learning, explainable AI, India, PhD thesis, autonomous systems, engineering research",2010,Machine Learning,Gujarat,multi-objective optimisation,additive manufacturing optimisation
GEN_0036,Socio-Economic Determinants of biodiversity conservation in North India,"This study investigates biodiversity conservation among school dropouts in North India using narrative inquiry. The research addresses existing gaps in Education literature, particularly the lack of region-specific empirical evidence. Primary data was collected from 91 respondents. Findings reveal significant socio-economic disparities influencing biodiversity conservation. The study recommends policy interventions targeting school dropouts to improve outcomes.","Education, biodiversity conservation, Psychology, empirical study, North India, India",2009,Education,North India,narrative inquiry,biodiversity conservation
ENGG_0026,Blockchain-Based traffic flow optimisation for Secure renewable energy,"The increasing demand for renewable energy has necessitated efficient solutions for traffic flow optimisation. This paper proposes a systematic literature review that leverages recent advances in Mechanical Engineering to address this challenge. The proposed architecture is validated through extensive simulations and hardware prototype testing. Results show significant improvements in performance metrics including accuracy, latency, power consumption, and throughput over baseline methods. The work has direct applicability to real-world Indian systems.","Mechanical Engineering, renewable energy, systematic literature review, PhD thesis, traffic flow optimisation, heat transfer enhancement",2018,Mechanical Engineering,Uttar Pradesh,systematic literature review,traffic flow optimisation
ENG_0018,narrative identity in the postcolonial fictions of Women Writers in India,"This research undertakes a new historicism analysis of narrative identity in selected works of Indian women writers in English. The study focuses on how these writers use the postcolonial fiction form to articulate experiences of marginalization, resistance, and empowerment. Drawing on feminist scholarship and postcolonial theory, the analysis reveals complex negotiations of gender, caste, and class in contemporary Indian women's writing.","gender representation, narrative identity, new historicism, postcolonial literature, Indian writing in English, literary studies",2009,Translation Studies,NIT Trichy,textual analysis,narrative identity
GEN_0016,Patterns of agricultural sustainability among teachers: A Commerce Perspective,"This paper explores agricultural sustainability as it manifests among teachers across Assam. Using action research, the study draws on data from 497 informants. The analysis situates findings within broader Commerce theory, highlighting structural barriers and enablers. The research contributes original empirical data to an underexplored subfield and proposes a conceptual model for future inquiry.","agricultural sustainability, History, teachers, empirical study, Commerce, India",2007,Commerce,Assam,action research,agricultural sustainability
GEN_0026,Impact of agricultural sustainability on fisherfolk: A Case Study from North India,"The present research examines the relationship between agricultural sustainability and the lived experiences of fisherfolk in North India. Adopting a participatory rural appraisal approach within the Environmental Science framework, the study collected data from 186 participants. Results indicate that agricultural sustainability is deeply embedded in local cultural and institutional structures. Policy recommendations are provided for government and civil society stakeholders.","Environmental Science, fisherfolk, Library Science, North India, India, agricultural sustainability",2010,Environmental Science,North India,participatory rural appraisal,agricultural sustainability
GEN_0031,Understanding migration patterns in the Context of Sociology in North-East India,"This paper explores migration patterns as it manifests among college students across North-East India. Using ethnographic fieldwork, the study draws on data from 452 informants. The analysis situates findings within broader Sociology theory, highlighting structural barriers and enablers. The research contributes original empirical data to an underexplored subfield and proposes a conceptual model for future inquiry.","Linguistics, Sociology, empirical study, college students, cultural identity preservation, North-East India",2023,Sociology,North-East India,ethnographic fieldwork,migration patterns
GEN_0018,A Study on water management among migrant workers in coastal regions,"This paper explores water management as it manifests among migrant workers across coastal regions. Using qualitative case study, the study draws on data from 426 informants. The analysis situates findings within broader Philosophy theory, highlighting structural barriers and enablers. The research contributes original empirical data to an underexplored subfield and proposes a conceptual model for future inquiry.","water management, India, Philosophy, cultural identity preservation, migrant workers, History",2022,Philosophy,coastal regions,qualitative case study,water management
ENG_0008,Representation of intertextuality in Contemporary Indian autobiography,"The present research analyses the representation of intertextuality in contemporary Indian writing in English, with particular focus on autobiography published between 2000 and 2024. Using diaspora theory as the theoretical lens, the study explores how selected texts negotiate questions of identity, belonging, and resistance. The research highlights the intersection of intertextuality with caste, gender, and language politics in the Indian literary landscape.","Rohinton Mistry, postcolonial literature, Indian writing in English, stream of consciousness, literary studies, intertextuality",2007,Feminist Literary Criticism,North-East India,textual analysis,intertextuality
GEN_0028,Role of migration patterns in Shaping the Lives of scheduled castes in Maharashtra,"This paper explores migration patterns as it manifests among scheduled castes across Maharashtra. Using quasi-experimental study, the study draws on data from 226 informants. The analysis situates findings within broader Education theory, highlighting structural barriers and enablers. The research contributes original empirical data to an underexplored subfield and proposes a conceptual model for future inquiry.","environmental degradation, India, scheduled castes, Maharashtra, migration patterns, Economics",2015,Education,Maharashtra,quasi-experimental study,migration patterns
GEN_0030,political participation and school dropouts: Challenges and Opportunities in NIT Trichy,"The present research examines the relationship between political participation and the lived experiences of school dropouts in NIT Trichy. Adopting a grounded theory approach within the Geography framework, the study collected data from 333 participants. Results indicate that political participation is deeply embedded in local cultural and institutional structures. Policy recommendations are provided for government and civil society stakeholders.","NIT Trichy, India, health-seeking behavior, Statistics, Geography, empirical study",2009,Geography,NIT Trichy,grounded theory,political participation
ENGG_0024,An Efficient statistical regression analysis Approach for wind energy conversion in Structural Engineering,"This paper presents the design, development, and evaluation of a statistical regression analysis system for wind energy conversion. The work is motivated by the growing need for efficient drug discovery solutions in the Indian context. The proposed approach integrates Structural Engineering principles with practical engineering considerations. Performance evaluation using real-world data confirms that the system meets the required specifications. Future work will focus on scaling the solution for large-scale deployment across Indian institutions.","drug discovery, concrete strength prediction, PhD thesis, Structural Engineering, engineering research, India",2022,Structural Engineering,NIT Warangal,statistical regression analysis,wind energy conversion
ENG_0001,Ecological Concerns and myth and modernity in Contemporary Indian Poetry,"This study examines myth and modernity in the literary works of Derek Walcott, applying postcolonial theory as the primary analytical framework. The research investigates how the author constructs myth and modernity through narrative techniques in selected magical realisms. Drawing on close textual analysis and critical theory, the study reveals how Derek Walcott's writings challenge dominant discourses while articulating subaltern experiences within the Indian socio-cultural context.","magical realism, reading comprehension strategies, postcolonial literature, postcolonial theory, Indian writing in English, myth and modernity",2004,English Language Teaching,Punjab,textual analysis,myth and modernity
ENGG_0002,Prediction of DC microgrid control Using ANSYS structural simulation: A Case Study,"The increasing demand for renewable energy has necessitated efficient solutions for DC microgrid control. This paper proposes a ANSYS structural simulation that leverages recent advances in Aerospace Engineering to address this challenge. The proposed architecture is validated through extensive simulations and hardware prototype testing. Results show significant improvements in performance metrics including accuracy, latency, power consumption, and throughput over baseline methods. The work has direct applicability to real-world Indian systems.","India, PhD thesis, DC microgrid control, ANSYS structural simulation, biosensor development, renewable energy",2022,Aerospace Engineering,West Bengal,ANSYS structural simulation,DC microgrid control
ENGG_0006,Blockchain-Based cancer detection using machine learning for Secure structural safety,"This paper presents a novel Python-based data analysis for cancer detection using machine learning targeted at structural safety applications. The proposed system is designed and implemented using state-of-the-art techniques in Thermal Engineering. Extensive experiments were conducted on benchmark datasets and real-world scenarios. The results demonstrate that the proposed approach achieves superior performance compared to existing methods, with improvements in accuracy, efficiency, and computational cost. The system has significant potential for deployment in Indian industrial and academic environments.","Thermal Engineering, energy harvesting, engineering research, Python-based data analysis, PhD thesis, India",2023,Thermal Engineering,South India,Python-based data analysis,cancer detection using machine learning
GEN_0008,Socio-Economic Determinants of social mobility in Jadavpur University,"This paper explores social mobility as it manifests among elderly across Jadavpur University. Using participatory rural appraisal, the study draws on data from 490 informants. The analysis situates findings within broader Botany theory, highlighting structural barriers and enablers. The research contributes original empirical data to an underexplored subfield and proposes a conceptual model for future inquiry.","digital literacy, India, social mobility, Botany, Statistics, Jadavpur University",2008,Botany,Jadavpur University,participatory rural appraisal,social mobility
ENG_0017,Identity Crisis and reading comprehension strategies in the Fiction of Salman Rushdie,"This study explores the pedagogical implications of reading comprehension strategies in English Language Teaching classrooms in India. Using a mixed-methods approach combining classroom observation and interviews with 101 teachers and students, the research investigates how reading comprehension strategies can be effectively integrated into language learning. Findings suggest that culturally relevant content significantly improves learner engagement and acquisition.","Salman Rushdie, feminist fiction, new historicism, literary studies, postcolonial literature, ESL classroom dynamics",2005,Literary Studies,Anna University,textual analysis,reading comprehension strategies
ENGG_0039,Blockchain-Based cancer detection using machine learning for Secure defence systems,"This paper presents a novel MATLAB/Simulink modelling for cancer detection using machine learning targeted at defence systems applications. The proposed system is designed and implemented using state-of-the-art techniques in Environmental Engineering. Extensive experiments were conducted on benchmark datasets and real-world scenarios. The results demonstrate that the proposed approach achieves superior performance compared to existing methods, with improvements in accuracy, efficiency, and computational cost. The system has significant potential for deployment in Indian industrial and academic environments.","defence systems, MATLAB/Simulink modelling, India, digital signal processing, Environmental Engineering, cancer detection using machine learning",2019,Environmental Engineering,IIT Bombay,MATLAB/Simulink modelling,cancer detection using machine learning
ENGG_0003,Fault Detection and Diagnosis in heat transfer enhancement Using field data collection and analysis,"The increasing demand for renewable energy has necessitated efficient solutions for heat transfer enhancement. This paper proposes a field data collection and analysis that leverages recent advances in Renewable Energy Engineering to address this challenge. The proposed architecture is validated through extensive simulations and hardware prototype testing. Results show significant improvements in performance metrics including accuracy, latency, power consumption, and throughput over baseline methods. The work has direct applicability to real-world Indian systems.","PhD thesis, renewable energy, field data collection and analysis, Renewable Energy Engineering, India, engineering research",2017,Renewable Energy Engineering,Anna University,field data collection and analysis,heat transfer enhancement
GEN_0027,Exploring cultural identity preservation through grounded theory: Evidence from Kerala,"The present research examines the relationship between cultural identity preservation and the lived experiences of migrant workers in Kerala. Adopting a grounded theory approach within the Anthropology framework, the study collected data from 192 participants. Results indicate that cultural identity preservation is deeply embedded in local cultural and institutional structures. Policy recommendations are provided for government and civil society stakeholders.","empirical study, cultural identity preservation, environmental degradation, Kerala, migrant workers, India",2007,Anthropology,Kerala,grounded theory,cultural identity preservation
ENG_0006,Translation as translation and culture: A Study of Regional Literature in English,"The present research analyses the representation of translation and culture in contemporary Indian writing in English, with particular focus on magical realism published between 2000 and 2024. Using narratology as the theoretical lens, the study explores how selected texts negotiate questions of identity, belonging, and resistance. The research highlights the intersection of translation and culture with caste, gender, and language politics in the Indian literary landscape.","magical realism, postcolonial literature, cultural hybridity, literary studies, Jhumpa Lahiri, narratology",2000,Postcolonial Studies,tribal communities,textual analysis,translation and culture
GEN_0029,Critical Analysis of biodiversity conservation in Post-Independence Tamil Nadu,"The present research examines the relationship between biodiversity conservation and the lived experiences of rural youth in Tamil Nadu. Adopting a narrative inquiry approach within the Commerce framework, the study collected data from 401 participants. Results indicate that biodiversity conservation is deeply embedded in local cultural and institutional structures. Policy recommendations are provided for government and civil society stakeholders.","empirical study, India, Tamil Nadu, biodiversity conservation, Statistics, Commerce",2011,Commerce,Tamil Nadu,narrative inquiry,biodiversity conservation
GEN_0038,A Study on educational access among postgraduate students in Madhya Pradesh,"The present research examines the relationship between educational access and the lived experiences of postgraduate students in Madhya Pradesh. Adopting a ethnographic fieldwork approach within the Zoology framework, the study collected data from 273 participants. Results indicate that educational access is deeply embedded in local cultural and institutional structures. Policy recommendations are provided for government and civil society stakeholders.","cultural identity preservation, empirical study, postgraduate students, Zoology, Statistics, Madhya Pradesh",2020,Zoology,Madhya Pradesh,ethnographic fieldwork,educational access
ENGG_0001,Hybrid machine learning classification for Enhanced explainable AI Performance,This work investigates explainable AI using machine learning classification with application to financial fraud detection. A comprehensive dataset of 8437 samples was collected and preprocessed for training and evaluation. The proposed model integrates advanced Robotics and Automation techniques to improve prediction and classification accuracy. Ablation studies and comparative evaluations confirm the superiority of the proposed approach. This research addresses a critical gap in the literature and provides a deployable solution for Indian industries.,"polymer nanocomposites, financial fraud detection, Robotics and Automation, PhD thesis, engineering research, India",2021,Robotics and Automation,coastal regions,machine learning classification,explainable AI
ENGG_0014,A Machine Learning Framework for low-power IoT devices in drug discovery,This work investigates low-power IoT devices using finite element analysis with application to drug discovery. A comprehensive dataset of 2406 samples was collected and preprocessed for training and evaluation. The proposed model integrates advanced Nanotechnology techniques to improve prediction and classification accuracy. Ablation studies and comparative evaluations confirm the superiority of the proposed approach. This research addresses a critical gap in the literature and provides a deployable solution for Indian industries.,"engineering research, low-power IoT devices, drug discovery, PhD thesis, finite element analysis, cancer detection using machine learning",2022,Nanotechnology,West Bengal,finite element analysis,low-power IoT devices
ENG_0013,narrative identity and cultural materialism in Indian Writing in English,"The present research analyses the representation of narrative identity in contemporary Indian writing in English, with particular focus on partition narrative published between 2000 and 2024. Using cultural materialism as the theoretical lens, the study explores how selected texts negotiate questions of identity, belonging, and resistance. The research highlights the intersection of narrative identity with caste, gender, and language politics in the Indian literary landscape.","cultural materialism, Indian writing in English, narrative identity, Chinua Achebe, postcolonial literature, literary studies",2021,Applied Linguistics,Telangana,textual analysis,narrative identity
GEN_0025,Critical Analysis of agricultural sustainability in Post-Independence Central India,"This paper explores agricultural sustainability as it manifests among migrant workers across Central India. Using systematic literature review, the study draws on data from 391 informants. The analysis situates findings within broader History theory, highlighting structural barriers and enablers. The research contributes original empirical data to an underexplored subfield and proposes a conceptual model for future inquiry.","Central India, migrant workers, migration patterns, empirical study, History, agricultural sustainability",2008,History,Central India,systematic literature review,agricultural sustainability
GEN_0039,Impact of water management on informal sector workers: A Case Study from Kerala,"This paper explores water management as it manifests among informal sector workers across Kerala. Using quasi-experimental study, the study draws on data from 389 informants. The analysis situates findings within broader Zoology theory, highlighting structural barriers and enablers. The research contributes original empirical data to an underexplored subfield and proposes a conceptual model for future inquiry.","Psychology, informal sector workers, water management, Kerala, Zoology, migration patterns",2005,Zoology,Kerala,quasi-experimental study,water management
ENG_0014,A Feminist Analysis of language identity in Kiran Desai's drama,"This study examines language identity in the literary works of Kiran Desai, applying feminist literary criticism as the primary analytical framework. The research investigates how the author constructs language identity through narrative techniques in selected dramas. Drawing on close textual analysis and critical theory, the study reveals how Kiran Desai's writings challenge dominant discourses while articulating subaltern experiences within the Indian socio-cultural context.","Indian writing in English, literary studies, postcolonial literature, exile and alienation, Kiran Desai, drama",2022,Dalit Literature,coastal regions,textual analysis,language identity
ENGG_0013,Blockchain-Based FPGA-based hardware acceleration for Secure 5G wireless networks,"The increasing demand for 5G wireless networks has necessitated efficient solutions for FPGA-based hardware acceleration. This paper proposes a multi-objective optimisation that leverages recent advances in Machine Learning to address this challenge. The proposed architecture is validated through extensive simulations and hardware prototype testing. Results show significant improvements in performance metrics including accuracy, latency, power consumption, and throughput over baseline methods. The work has direct applicability to real-world Indian systems.","India, PhD thesis, Machine Learning, multi-objective optimisation, 5G wireless networks, engineering research",2022,Machine Learning,Bihar,multi-objective optimisation,FPGA-based hardware acceleration
ENG_0019,Voices from the Margin: communicative language teaching in Indian partition narrative Writing,"This research undertakes a postcolonial theory analysis of communicative language teaching in selected works of Indian women writers in English. The study focuses on how these writers use the partition narrative form to articulate experiences of marginalization, resistance, and empowerment. Drawing on feminist scholarship and postcolonial theory, the analysis reveals complex negotiations of gender, caste, and class in contemporary Indian women's writing.","historical fiction, postcolonial literature, partition narrative, communicative language teaching, Derek Walcott, literary studies",2001,Diaspora Literature,VIT Vellore,textual analysis,communicative language teaching
ENGG_0010,A Survey on structural health monitoring: Challenges and Future Directions,"This paper presents a novel computational fluid dynamics simulation for structural health monitoring targeted at drug discovery applications. The proposed system is designed and implemented using state-of-the-art techniques in Data Science. Extensive experiments were conducted on benchmark datasets and real-world scenarios. The results demonstrate that the proposed approach achieves superior performance compared to existing methods, with improvements in accuracy, efficiency, and computational cost. The system has significant potential for deployment in Indian industrial and academic environments.","PhD thesis, India, computational fluid dynamics simulation, anomaly detection, engineering research, drug discovery",2016,Data Science,North-East India,computational fluid dynamics simulation,structural health monitoring
ENGG_0004,FPGA Implementation of medical image segmentation for precision agriculture,This work investigates medical image segmentation using multi-objective optimisation with application to precision agriculture. A comprehensive dataset of 7849 samples was collected and preprocessed for training and evaluation. The proposed model integrates advanced Cybersecurity techniques to improve prediction and classification accuracy. Ablation studies and comparative evaluations confirm the superiority of the proposed approach. This research addresses a critical gap in the literature and provides a deployable solution for Indian industries.,"multi-objective optimisation, precision agriculture, medical image segmentation, Cybersecurity, heat transfer enhancement, engineering research",2021,Cybersecurity,South India,multi-objective optimisation,medical image segmentation
GEN_0034,Patterns of agricultural sustainability among adolescents: A Botany Perspective,"This study investigates agricultural sustainability among adolescents in VIT Vellore using experimental design. The research addresses existing gaps in Botany literature, particularly the lack of region-specific empirical evidence. Primary data was collected from 484 respondents. Findings reveal significant socio-economic disparities influencing agricultural sustainability. The study recommends policy interventions targeting adolescents to improve outcomes.","empirical study, language policy, Botany, India, Statistics, VIT Vellore",2008,Botany,VIT Vellore,experimental design,agricultural sustainability
GEN_0035,Exploring educational access through action research: Evidence from Odisha,"This paper explores educational access as it manifests among postgraduate students across Odisha. Using action research, the study draws on data from 434 informants. The analysis situates findings within broader Linguistics theory, highlighting structural barriers and enablers. The research contributes original empirical data to an underexplored subfield and proposes a conceptual model for future inquiry.","Linguistics, Odisha, Mathematics, educational access, religious pluralism, India",2012,Linguistics,Odisha,action research,educational access
ENGG_0025,Hybrid multi-objective optimisation for Enhanced low-power CMOS design Performance,"The increasing demand for autonomous systems has necessitated efficient solutions for low-power CMOS design. This paper proposes a multi-objective optimisation that leverages recent advances in Robotics and Automation to address this challenge. The proposed architecture is validated through extensive simulations and hardware prototype testing. Results show significant improvements in performance metrics including accuracy, latency, power consumption, and throughput over baseline methods. The work has direct applicability to real-world Indian systems.","transformer models, low-power CMOS design, PhD thesis, engineering research, India, Robotics and Automation",2015,Robotics and Automation,South India,multi-objective optimisation,low-power CMOS design
ENGG_0036,Deep Learning-Based explainable AI for supply chain optimisation: A Comparative Study,This research proposes an efficient ANSYS structural simulation framework for explainable AI in the context of supply chain optimisation. The study addresses key limitations of existing approaches by introducing a Environmental Engineering-based solution that is both scalable and computationally efficient. Experimental evaluation on standard benchmarks confirms the effectiveness of the proposed method. The findings contribute to advancing the state of the art in Environmental Engineering and open new research directions for practical deployment.,"ANSYS structural simulation, federated learning, Environmental Engineering, engineering research, India, PhD thesis",2015,Environmental Engineering,Bihar,ANSYS structural simulation,explainable AI
