id,title,abstract,keywords,year,domain,region,method,theme
ENGG_0019,Deep Learning-Based additive manufacturing optimisation for healthcare diagnostics: A Comparative Study,"This paper presents the design, development, and evaluation of a cloud-based system design system for additive manufacturing optimisation. The work is motivated by the growing need for efficient healthcare diagnostics solutions in the Indian context. The proposed approach integrates Aerospace Engineering principles with practical engineering considerations. Performance evaluation using real-world data confirms that the system meets the required specifications. Future work will focus on scaling the solution for large-scale deployment across Indian institutions.","Aerospace Engineering, PhD thesis, India, speech recognition, engineering research, additive manufacturing optimisation",2013,Aerospace Engineering,Uttar Pradesh,cloud-based system design,additive manufacturing optimisation
GEN_0005,Impact of economic empowerment on OBC communities: A Case Study from IIT Madras,"This paper explores economic empowerment as it manifests among OBC communities across IIT Madras. Using content analysis, the study draws on data from 157 informants. The analysis situates findings within broader Linguistics theory, highlighting structural barriers and enablers. The research contributes original empirical data to an underexplored subfield and proposes a conceptual model for future inquiry.","Linguistics, OBC communities, Zoology, empirical study, IIT Madras, India",2013,Linguistics,IIT Madras,content analysis,economic empowerment
GEN_0010,Factors Influencing gender inequality among rural youth in Assam,"This paper explores gender inequality as it manifests among rural youth across Assam. Using narrative inquiry, the study draws on data from 495 informants. The analysis situates findings within broader Education theory, highlighting structural barriers and enablers. The research contributes original empirical data to an underexplored subfield and proposes a conceptual model for future inquiry.","empirical study, climate change adaptation, rural youth, India, gender inequality, Assam",2014,Education,Assam,narrative inquiry,gender inequality
ENGG_0032,Deep Learning-Based DC microgrid control for healthcare diagnostics: A Comparative Study,"The increasing demand for healthcare diagnostics has necessitated efficient solutions for DC microgrid control. This paper proposes a simulation-based study that leverages recent advances in Cybersecurity to address this challenge. The proposed architecture is validated through extensive simulations and hardware prototype testing. Results show significant improvements in performance metrics including accuracy, latency, power consumption, and throughput over baseline methods. The work has direct applicability to real-world Indian systems.","engineering research, DC microgrid control, PhD thesis, healthcare diagnostics, India, wireless sensor networks",2013,Cybersecurity,Telangana,simulation-based study,DC microgrid control
GEN_0015,Impact of migration patterns on self-help group members: A Case Study from NIT Warangal,"This study investigates migration patterns among self-help group members in NIT Warangal using grounded theory. The research addresses existing gaps in Economics literature, particularly the lack of region-specific empirical evidence. Primary data was collected from 289 respondents. Findings reveal significant socio-economic disparities influencing migration patterns. The study recommends policy interventions targeting self-help group members to improve outcomes.","self-help group members, Women Studies, health-seeking behavior, empirical study, Economics, migration patterns",2006,Economics,NIT Warangal,grounded theory,migration patterns
ENGG_0030,Optimisation of FPGA-based hardware acceleration Using Arduino/Raspberry Pi implementation in Nanotechnology,"This paper presents the design, development, and evaluation of a Arduino/Raspberry Pi implementation system for FPGA-based hardware acceleration. The work is motivated by the growing need for efficient defence systems solutions in the Indian context. The proposed approach integrates Nanotechnology principles with practical engineering considerations. Performance evaluation using real-world data confirms that the system meets the required specifications. Future work will focus on scaling the solution for large-scale deployment across Indian institutions.","Nanotechnology, Arduino/Raspberry Pi implementation, defence systems, engineering research, India, PhD thesis",2012,Nanotechnology,Karnataka,Arduino/Raspberry Pi implementation,FPGA-based hardware acceleration
GEN_0032,urbanisation impact and college students: Challenges and Opportunities in Karnataka,"This paper explores urbanisation impact as it manifests among college students across Karnataka. Using experimental design, the study draws on data from 221 informants. The analysis situates findings within broader Environmental Science theory, highlighting structural barriers and enablers. The research contributes original empirical data to an underexplored subfield and proposes a conceptual model for future inquiry.","Environmental Science, college students, urbanisation impact, empirical study, political participation, Anthropology",2007,Environmental Science,Karnataka,experimental design,urbanisation impact
ENGG_0028,Optimisation of medical image segmentation Using multi-objective optimisation in Renewable Energy Engineering,"The increasing demand for remote sensing has necessitated efficient solutions for medical image segmentation. This paper proposes a multi-objective optimisation that leverages recent advances in Renewable Energy Engineering to address this challenge. The proposed architecture is validated through extensive simulations and hardware prototype testing. Results show significant improvements in performance metrics including accuracy, latency, power consumption, and throughput over baseline methods. The work has direct applicability to real-world Indian systems.","India, multi-objective optimisation, PhD thesis, medical image segmentation, Renewable Energy Engineering, structural health monitoring",2010,Renewable Energy Engineering,Kerala,multi-objective optimisation,medical image segmentation
GEN_0022,Impact of mental health awareness on scheduled castes: A Case Study from North-East India,"This paper explores mental health awareness as it manifests among scheduled castes across North-East India. Using narrative inquiry, the study draws on data from 185 informants. The analysis situates findings within broader Zoology theory, highlighting structural barriers and enablers. The research contributes original empirical data to an underexplored subfield and proposes a conceptual model for future inquiry.","India, North-East India, Psychology, scheduled castes, biodiversity conservation, mental health awareness",2008,Zoology,North-East India,narrative inquiry,mental health awareness
GEN_0014,agricultural sustainability and elderly: Challenges and Opportunities in North India,"This paper explores agricultural sustainability as it manifests among elderly across North India. Using experimental design, the study draws on data from 192 informants. The analysis situates findings within broader History theory, highlighting structural barriers and enablers. The research contributes original empirical data to an underexplored subfield and proposes a conceptual model for future inquiry.","Chemistry, elderly, History, empirical study, mental health awareness, agricultural sustainability",2020,History,North India,experimental design,agricultural sustainability
ENGG_0007,Real-Time millimetre wave communication Using finite element analysis: Design and Evaluation,"This paper presents a novel finite element analysis for millimetre wave communication targeted at autonomous systems applications. The proposed system is designed and implemented using state-of-the-art techniques in Electrical Engineering. Extensive experiments were conducted on benchmark datasets and real-world scenarios. The results demonstrate that the proposed approach achieves superior performance compared to existing methods, with improvements in accuracy, efficiency, and computational cost. The system has significant potential for deployment in Indian industrial and academic environments.","engineering research, PhD thesis, millimetre wave communication, finite element analysis, India, Electrical Engineering",2021,Electrical Engineering,Anna University,finite element analysis,millimetre wave communication
ENGG_0034,Energy-Efficient green building energy efficiency for water resource management in Resource-Constrained Environments,This research proposes an efficient multi-objective optimisation framework for green building energy efficiency in the context of water resource management. The study addresses key limitations of existing approaches by introducing a Cybersecurity-based solution that is both scalable and computationally efficient. Experimental evaluation on standard benchmarks confirms the effectiveness of the proposed method. The findings contribute to advancing the state of the art in Cybersecurity and open new research directions for practical deployment.,"wastewater treatment using nanomaterials, PhD thesis, engineering research, multi-objective optimisation, green building energy efficiency, Cybersecurity",2010,Cybersecurity,Rajasthan,multi-objective optimisation,green building energy efficiency
GEN_0024,Factors Influencing gender inequality among urban youth in NIT Warangal,"This study investigates gender inequality among urban youth in NIT Warangal using qualitative case study. The research addresses existing gaps in Linguistics literature, particularly the lack of region-specific empirical evidence. Primary data was collected from 88 respondents. Findings reveal significant socio-economic disparities influencing gender inequality. The study recommends policy interventions targeting urban youth to improve outcomes.","NIT Warangal, Linguistics, urban youth, gender inequality, Chemistry, empirical study",2009,Linguistics,NIT Warangal,qualitative case study,gender inequality
GEN_0003,Role of cultural identity preservation in Shaping the Lives of migrant workers in Punjab,"This study investigates cultural identity preservation among migrant workers in Punjab using participatory rural appraisal. The research addresses existing gaps in Education literature, particularly the lack of region-specific empirical evidence. Primary data was collected from 102 respondents. Findings reveal significant socio-economic disparities influencing cultural identity preservation. The study recommends policy interventions targeting migrant workers to improve outcomes.","India, economic empowerment, cultural identity preservation, Education, empirical study, migrant workers",2007,Education,Punjab,participatory rural appraisal,cultural identity preservation
ENG_0007,postcolonial theory and ESL classroom dynamics: A Study of Selected short storys,"This paper investigates ESL classroom dynamics in the short storys of Meena Alexander, situating the analysis within the framework of postcolonial theory. The study employs textual analysis and comparative methodology to examine how literary representations of ESL classroom dynamics reflect broader socio-political realities in postcolonial India. The research argues that Meena Alexander's literary imagination offers a unique perspective on questions of culture, identity, and power.","historical fiction, Indian writing in English, literary studies, postcolonial theory, short story, postcolonial literature",2012,Dalit Literature,coastal regions,textual analysis,ESL classroom dynamics
ENG_0015,Gender and literature in ELT in the autobiographys of Raja Rao,"This paper investigates literature in ELT in the autobiographys of Raja Rao, situating the analysis within the framework of psychoanalytic criticism. The study employs textual analysis and comparative methodology to examine how literary representations of literature in ELT reflect broader socio-political realities in postcolonial India. The research argues that Raja Rao's literary imagination offers a unique perspective on questions of culture, identity, and power.","Indian writing in English, autobiography, literature in ELT, literary studies, psychoanalytic criticism, reading comprehension strategies",2001,English Language,Punjab,textual analysis,literature in ELT
GEN_0012,Understanding digital literacy in the Context of Psychology in Gujarat,"The present research examines the relationship between digital literacy and the lived experiences of postgraduate students in Gujarat. Adopting a experimental design approach within the Psychology framework, the study collected data from 185 participants. Results indicate that digital literacy is deeply embedded in local cultural and institutional structures. Policy recommendations are provided for government and civil society stakeholders.","Psychology, empirical study, Gujarat, Zoology, climate change adaptation, postgraduate students",2021,Psychology,Gujarat,experimental design,digital literacy
ENGG_0008,Optimisation of transformer models Using prototype development and testing in Data Science,This research proposes an efficient prototype development and testing framework for transformer models in the context of supply chain optimisation. The study addresses key limitations of existing approaches by introducing a Data Science-based solution that is both scalable and computationally efficient. Experimental evaluation on standard benchmarks confirms the effectiveness of the proposed method. The findings contribute to advancing the state of the art in Data Science and open new research directions for practical deployment.,"Data Science, India, supply chain optimisation, PhD thesis, reinforcement learning, engineering research",2020,Data Science,NIT Trichy,prototype development and testing,transformer models
ENGG_0020,Deep Learning-Based drug delivery nanoparticles for defence systems: A Comparative Study,This research proposes an efficient machine learning classification framework for drug delivery nanoparticles in the context of defence systems. The study addresses key limitations of existing approaches by introducing a Deep Learning-based solution that is both scalable and computationally efficient. Experimental evaluation on standard benchmarks confirms the effectiveness of the proposed method. The findings contribute to advancing the state of the art in Deep Learning and open new research directions for practical deployment.,"India, PhD thesis, Deep Learning, drug delivery nanoparticles, electric vehicle battery management, defence systems",2023,Deep Learning,Tamil Nadu,machine learning classification,drug delivery nanoparticles
ENGG_0022,A Machine Learning Framework for industrial IoT in satellite communication,"This paper presents the design, development, and evaluation of a ANSYS structural simulation system for industrial IoT. The work is motivated by the growing need for efficient satellite communication solutions in the Indian context. The proposed approach integrates Materials Science principles with practical engineering considerations. Performance evaluation using real-world data confirms that the system meets the required specifications. Future work will focus on scaling the solution for large-scale deployment across Indian institutions.","India, satellite communication, engineering research, industrial IoT, convolutional neural networks, Materials Science",2018,Materials Science,Andhra Pradesh,ANSYS structural simulation,industrial IoT
ENG_0009,"Language, Power and language identity in Anita Desai's Works","The present research analyses the representation of language identity in contemporary Indian writing in English, with particular focus on life writing published between 2000 and 2024. Using queer theory as the theoretical lens, the study explores how selected texts negotiate questions of identity, belonging, and resistance. The research highlights the intersection of language identity with caste, gender, and language politics in the Indian literary landscape.","queer theory, historical fiction, language identity, Indian writing in English, Anita Desai, life writing",2006,Applied Linguistics,coastal regions,textual analysis,language identity
ENGG_0029,Multi-Objective Optimisation of heat transfer enhancement for smart manufacturing,This research proposes an efficient Monte Carlo simulation framework for heat transfer enhancement in the context of smart manufacturing. The study addresses key limitations of existing approaches by introducing a Renewable Energy Engineering-based solution that is both scalable and computationally efficient. Experimental evaluation on standard benchmarks confirms the effectiveness of the proposed method. The findings contribute to advancing the state of the art in Renewable Energy Engineering and open new research directions for practical deployment.,"PhD thesis, smart manufacturing, Monte Carlo simulation, Renewable Energy Engineering, engineering research, India",2011,Renewable Energy Engineering,Punjab,Monte Carlo simulation,heat transfer enhancement
ENGG_0037,Comparative Analysis of field data collection and analysis Techniques for reinforcement learning,"The increasing demand for drug discovery has necessitated efficient solutions for reinforcement learning. This paper proposes a field data collection and analysis that leverages recent advances in Electrical Engineering to address this challenge. The proposed architecture is validated through extensive simulations and hardware prototype testing. Results show significant improvements in performance metrics including accuracy, latency, power consumption, and throughput over baseline methods. The work has direct applicability to real-world Indian systems.","engineering research, Electrical Engineering, drug discovery, reinforcement learning, finite element analysis of composite materials, PhD thesis",2020,Electrical Engineering,Anna University,field data collection and analysis,reinforcement learning
ENGG_0035,FPGA Implementation of anomaly detection for satellite communication,"The increasing demand for satellite communication has necessitated efficient solutions for anomaly detection. This paper proposes a multi-objective optimisation that leverages recent advances in Mechanical Engineering to address this challenge. The proposed architecture is validated through extensive simulations and hardware prototype testing. Results show significant improvements in performance metrics including accuracy, latency, power consumption, and throughput over baseline methods. The work has direct applicability to real-world Indian systems.","engineering research, Mechanical Engineering, multi-objective optimisation, PhD thesis, anomaly detection, traffic flow optimisation",2011,Mechanical Engineering,IIT Delhi,multi-objective optimisation,anomaly detection
GEN_0017,A Study on social mobility among informal sector workers in Telangana,"The present research examines the relationship between social mobility and the lived experiences of informal sector workers in Telangana. Adopting a narrative inquiry approach within the Library Science framework, the study collected data from 134 participants. Results indicate that social mobility is deeply embedded in local cultural and institutional structures. Policy recommendations are provided for government and civil society stakeholders.","India, Library Science, empirical study, Linguistics, educational access, social mobility",2017,Library Science,Telangana,narrative inquiry,social mobility
ENG_0011,translation and culture and orientalism in Indian Writing in English,"This research undertakes a orientalism analysis of translation and culture in selected works of Indian women writers in English. The study focuses on how these writers use the short story form to articulate experiences of marginalization, resistance, and empowerment. Drawing on feminist scholarship and postcolonial theory, the analysis reveals complex negotiations of gender, caste, and class in contemporary Indian women's writing.","orientalism, Wole Soyinka, Indian writing in English, subaltern voices, translation and culture, short story",2015,English Literature,West Bengal,textual analysis,translation and culture
GEN_0040,Exploring health-seeking behavior through content analysis: Evidence from VIT Vellore,"This study investigates health-seeking behavior among school dropouts in VIT Vellore using content analysis. The research addresses existing gaps in Philosophy literature, particularly the lack of region-specific empirical evidence. Primary data was collected from 192 respondents. Findings reveal significant socio-economic disparities influencing health-seeking behavior. The study recommends policy interventions targeting school dropouts to improve outcomes.","health-seeking behavior, VIT Vellore, school dropouts, Sociology, India, Philosophy",2018,Philosophy,VIT Vellore,content analysis,health-seeking behavior
ENG_0005,cultural hybridity in the dramas of Women Writers in India,"This paper investigates cultural hybridity in the dramas of Anita Desai, situating the analysis within the framework of diaspora theory. The study employs textual analysis and comparative methodology to examine how literary representations of cultural hybridity reflect broader socio-political realities in postcolonial India. The research argues that Anita Desai's literary imagination offers a unique perspective on questions of culture, identity, and power.","diaspora and belonging, literary studies, diaspora theory, Anita Desai, drama, cultural hybridity",2019,English Language Teaching,VIT Vellore,textual analysis,cultural hybridity
GEN_0019,Role of urbanisation impact in Shaping the Lives of OBC communities in Karnataka,"This study investigates urbanisation impact among OBC communities in Karnataka using mixed-methods survey. The research addresses existing gaps in Botany literature, particularly the lack of region-specific empirical evidence. Primary data was collected from 84 respondents. Findings reveal significant socio-economic disparities influencing urbanisation impact. The study recommends policy interventions targeting OBC communities to improve outcomes.","urbanisation impact, India, Anthropology, Botany, Karnataka, OBC communities",2012,Botany,Karnataka,mixed-methods survey,urbanisation impact
ENGG_0015,A Machine Learning Framework for OFDM channel estimation in traffic management,This work investigates OFDM channel estimation using systematic literature review with application to traffic management. A comprehensive dataset of 6186 samples was collected and preprocessed for training and evaluation. The proposed model integrates advanced Mechanical Engineering techniques to improve prediction and classification accuracy. Ablation studies and comparative evaluations confirm the superiority of the proposed approach. This research addresses a critical gap in the literature and provides a deployable solution for Indian industries.,"engineering research, India, Mechanical Engineering, OFDM channel estimation, traffic management, systematic literature review",2011,Mechanical Engineering,IIT Bombay,systematic literature review,OFDM channel estimation
GEN_0011,economic empowerment and women: Challenges and Opportunities in Jadavpur University,"This study investigates economic empowerment among women in Jadavpur University using mixed-methods survey. The research addresses existing gaps in Women Studies literature, particularly the lack of region-specific empirical evidence. Primary data was collected from 499 respondents. Findings reveal significant socio-economic disparities influencing economic empowerment. The study recommends policy interventions targeting women to improve outcomes.","women, economic empowerment, empirical study, Women Studies, agricultural sustainability, Jadavpur University",2014,Women Studies,Jadavpur University,mixed-methods survey,economic empowerment
ENGG_0031,An Efficient computational fluid dynamics simulation Approach for antenna design for 5G networks in Robotics and Automation,"The increasing demand for smart grid systems has necessitated efficient solutions for antenna design for 5G networks. This paper proposes a computational fluid dynamics simulation that leverages recent advances in Robotics and Automation to address this challenge. The proposed architecture is validated through extensive simulations and hardware prototype testing. Results show significant improvements in performance metrics including accuracy, latency, power consumption, and throughput over baseline methods. The work has direct applicability to real-world Indian systems.","computational fluid dynamics, India, engineering research, computational fluid dynamics simulation, antenna design for 5G networks, smart grid systems",2016,Robotics and Automation,Rajasthan,computational fluid dynamics simulation,antenna design for 5G networks
GEN_0020,Patterns of health-seeking behavior among farmers: A Philosophy Perspective,"The present research examines the relationship between health-seeking behavior and the lived experiences of farmers in South India. Adopting a discourse analysis approach within the Philosophy framework, the study collected data from 117 participants. Results indicate that health-seeking behavior is deeply embedded in local cultural and institutional structures. Policy recommendations are provided for government and civil society stakeholders.","Sociology, India, caste discrimination, health-seeking behavior, empirical study, South India",2014,Philosophy,South India,discourse analysis,health-seeking behavior
ENGG_0018,Fault Detection and Diagnosis in anomaly detection Using systematic literature review,"This paper presents a novel systematic literature review for anomaly detection targeted at autonomous systems applications. The proposed system is designed and implemented using state-of-the-art techniques in Robotics and Automation. Extensive experiments were conducted on benchmark datasets and real-world scenarios. The results demonstrate that the proposed approach achieves superior performance compared to existing methods, with improvements in accuracy, efficiency, and computational cost. The system has significant potential for deployment in Indian industrial and academic environments.","India, Robotics and Automation, anomaly detection, autonomous systems, engineering research, systematic literature review",2024,Robotics and Automation,IIT Madras,systematic literature review,anomaly detection
GEN_0033,Patterns of water management among artisans: A Physics Perspective,"The present research examines the relationship between water management and the lived experiences of artisans in West Bengal. Adopting a grounded theory approach within the Physics framework, the study collected data from 149 participants. Results indicate that water management is deeply embedded in local cultural and institutional structures. Policy recommendations are provided for government and civil society stakeholders.","water management, agricultural sustainability, Psychology, Physics, artisans, empirical study",2017,Physics,West Bengal,grounded theory,water management
GEN_0037,A Study on migration patterns among adolescents in NIT Trichy,"This paper explores migration patterns as it manifests among adolescents across NIT Trichy. Using ethnographic fieldwork, the study draws on data from 249 informants. The analysis situates findings within broader Linguistics theory, highlighting structural barriers and enablers. The research contributes original empirical data to an underexplored subfield and proposes a conceptual model for future inquiry.","migration patterns, NIT Trichy, health-seeking behavior, Linguistics, India, empirical study",2023,Linguistics,NIT Trichy,ethnographic fieldwork,migration patterns
ENG_0010,Ecological Concerns and subaltern voices in Contemporary Indian Poetry,"This study examines subaltern voices in the literary works of Mahesh Dattani, applying deconstruction as the primary analytical framework. The research investigates how the author constructs subaltern voices through narrative techniques in selected travel writings. Drawing on close textual analysis and critical theory, the study reveals how Mahesh Dattani's writings challenge dominant discourses while articulating subaltern experiences within the Indian socio-cultural context.","Indian writing in English, travel writing, literary studies, postcolonial literature, deconstruction, subaltern voices",2024,English Literature,Gujarat,textual analysis,subaltern voices
ENGG_0038,Performance Analysis of real-time embedded systems for satellite communication Applications,"The increasing demand for satellite communication has necessitated efficient solutions for real-time embedded systems. This paper proposes a computational fluid dynamics simulation that leverages recent advances in Environmental Engineering to address this challenge. The proposed architecture is validated through extensive simulations and hardware prototype testing. Results show significant improvements in performance metrics including accuracy, latency, power consumption, and throughput over baseline methods. The work has direct applicability to real-world Indian systems.","OFDM channel estimation, real-time embedded systems, PhD thesis, computational fluid dynamics simulation, India, engineering research",2018,Environmental Engineering,Uttar Pradesh,computational fluid dynamics simulation,real-time embedded systems
ENGG_0012,Design and Implementation of autonomous vehicle navigation Using cloud-based system design,"The increasing demand for traffic management has necessitated efficient solutions for autonomous vehicle navigation. This paper proposes a cloud-based system design that leverages recent advances in Environmental Engineering to address this challenge. The proposed architecture is validated through extensive simulations and hardware prototype testing. Results show significant improvements in performance metrics including accuracy, latency, power consumption, and throughput over baseline methods. The work has direct applicability to real-world Indian systems.","biosensor development, autonomous vehicle navigation, India, cloud-based system design, Environmental Engineering, PhD thesis",2024,Environmental Engineering,Gujarat,cloud-based system design,autonomous vehicle navigation
GEN_0013,A Study on agricultural sustainability among scheduled castes in Anna University,"This paper explores agricultural sustainability as it manifests among scheduled castes across Anna University. Using ethnographic fieldwork, the study draws on data from 82 informants. The analysis situates findings within broader Botany theory, highlighting structural barriers and enablers. The research contributes original empirical data to an underexplored subfield and proposes a conceptual model for future inquiry.","Botany, agricultural sustainability, biodiversity conservation, empirical study, scheduled castes, India",2015,Botany,Anna University,ethnographic fieldwork,agricultural sustainability
ENGG_0033,Design and Implementation of VLSI circuit design optimisation Using Python-based data analysis,This work investigates VLSI circuit design optimisation using Python-based data analysis with application to disaster management. A comprehensive dataset of 1280 samples was collected and preprocessed for training and evaluation. The proposed model integrates advanced Civil Engineering techniques to improve prediction and classification accuracy. Ablation studies and comparative evaluations confirm the superiority of the proposed approach. This research addresses a critical gap in the literature and provides a deployable solution for Indian industries.,"natural language processing, VLSI circuit design optimisation, Python-based data analysis, India, disaster management, engineering research",2016,Civil Engineering,Central India,Python-based data analysis,VLSI circuit design optimisation
GEN_0009,Factors Influencing livelihood challenges among urban youth in urban India,"The present research examines the relationship between livelihood challenges and the lived experiences of urban youth in urban India. Adopting a focus group discussion approach within the Linguistics framework, the study collected data from 398 participants. Results indicate that livelihood challenges is deeply embedded in local cultural and institutional structures. Policy recommendations are provided for government and civil society stakeholders.","India, Linguistics, urban youth, cultural identity preservation, livelihood challenges, urban India",2008,Linguistics,urban India,focus group discussion,livelihood challenges
ENG_0003,"Myth, Memory and magic realism in the Writings of Wole Soyinka","This paper investigates magic realism in the life writings of Wole Soyinka, situating the analysis within the framework of Marxist criticism. The study employs textual analysis and comparative methodology to examine how literary representations of magic realism reflect broader socio-political realities in postcolonial India. The research argues that Wole Soyinka's literary imagination offers a unique perspective on questions of culture, identity, and power.","postcolonial literature, magic realism, life writing, resistance literature, literary studies, Wole Soyinka",2017,Applied Linguistics,Maharashtra,textual analysis,magic realism
ENGG_0023,Performance Analysis of millimetre wave communication for financial fraud detection Applications,"The increasing demand for financial fraud detection has necessitated efficient solutions for millimetre wave communication. This paper proposes a finite element analysis that leverages recent advances in Cybersecurity to address this challenge. The proposed architecture is validated through extensive simulations and hardware prototype testing. Results show significant improvements in performance metrics including accuracy, latency, power consumption, and throughput over baseline methods. The work has direct applicability to real-world Indian systems.","finite element analysis, millimetre wave communication, Cybersecurity, DC microgrid control, India, engineering research",2024,Cybersecurity,Anna University,finite element analysis,millimetre wave communication
ENGG_0021,Hybrid prototype development and testing for Enhanced smart city infrastructure Performance,"This paper presents a novel prototype development and testing for smart city infrastructure targeted at satellite communication applications. The proposed system is designed and implemented using state-of-the-art techniques in Computer Science and Engineering. Extensive experiments were conducted on benchmark datasets and real-world scenarios. The results demonstrate that the proposed approach achieves superior performance compared to existing methods, with improvements in accuracy, efficiency, and computational cost. The system has significant potential for deployment in Indian industrial and academic environments.","PhD thesis, India, smart city infrastructure, engineering research, satellite communication, Computer Science and Engineering",2012,Computer Science and Engineering,South India,prototype development and testing,smart city infrastructure
GEN_0007,Factors Influencing educational access among artisans in IIT Delhi,"This paper explores educational access as it manifests among artisans across IIT Delhi. Using longitudinal cohort study, the study draws on data from 121 informants. The analysis situates findings within broader Library Science theory, highlighting structural barriers and enablers. The research contributes original empirical data to an underexplored subfield and proposes a conceptual model for future inquiry.","educational access, India, Library Science, IIT Delhi, artisans, educational access",2012,Library Science,IIT Delhi,longitudinal cohort study,educational access
ENGG_0017,An Efficient Python-based data analysis Approach for heat transfer enhancement in Internet of Things,This work investigates heat transfer enhancement using Python-based data analysis with application to environmental monitoring. A comprehensive dataset of 6897 samples was collected and preprocessed for training and evaluation. The proposed model integrates advanced Internet of Things techniques to improve prediction and classification accuracy. Ablation studies and comparative evaluations confirm the superiority of the proposed approach. This research addresses a critical gap in the literature and provides a deployable solution for Indian industries.,"PhD thesis, Python-based data analysis, heat transfer enhancement, energy harvesting, Internet of Things, environmental monitoring",2020,Internet of Things,Punjab,Python-based data analysis,heat transfer enhancement
ENGG_0027,A Survey on real-time embedded systems: Challenges and Future Directions,This research proposes an efficient systematic literature review framework for real-time embedded systems in the context of autonomous systems. The study addresses key limitations of existing approaches by introducing a Structural Engineering-based solution that is both scalable and computationally efficient. Experimental evaluation on standard benchmarks confirms the effectiveness of the proposed method. The findings contribute to advancing the state of the art in Structural Engineering and open new research directions for practical deployment.,"Structural Engineering, systematic literature review, India, PhD thesis, real-time embedded systems, cancer detection using machine learning",2020,Structural Engineering,Telangana,systematic literature review,real-time embedded systems
ENG_0004,The Politics of code switching in Postcolonial Indian Literature,"This research undertakes a psychoanalytic criticism analysis of code switching in selected works of Indian women writers in English. The study focuses on how these writers use the diaspora fiction form to articulate experiences of marginalization, resistance, and empowerment. Drawing on feminist scholarship and postcolonial theory, the analysis reveals complex negotiations of gender, caste, and class in contemporary Indian women's writing.","literature in ELT, diaspora fiction, literary studies, Indian writing in English, psychoanalytic criticism, Toni Morrison",2020,Postcolonial Studies,Assam,textual analysis,code switching
ENGG_0040,Intelligent federated learning System for smart manufacturing Using Deep Learning,This work investigates federated learning using comparative benchmark evaluation with application to smart manufacturing. A comprehensive dataset of 741 samples was collected and preprocessed for training and evaluation. The proposed model integrates advanced Robotics and Automation techniques to improve prediction and classification accuracy. Ablation studies and comparative evaluations confirm the superiority of the proposed approach. This research addresses a critical gap in the literature and provides a deployable solution for Indian industries.,"comparative benchmark evaluation, wind energy conversion, PhD thesis, engineering research, smart manufacturing, Robotics and Automation",2013,Robotics and Automation,Assam,comparative benchmark evaluation,federated learning
